id,symbol,side,entry_price,exit_price,initial_sl,initial_tp,margin_usdt,leverage,base_amount,notional,exit_reason,pnl_usdt,pnl_pct_account,duration_secs,max_state,opened_at,closed_at,bar_time_open,slope_pct,body_atr_ratio,adx_at_entry
5,NEAR,short,2.22684133630968,2.22413389772727,2.30101202678711,2.22295793541678,500.0,10.0,2200.0,4899.05093988129,tp,5.95636488129312,0.099272748021552,1818,1,2026-06-05T00:31:37.768855+00:00,2026-06-05T01:01:56.468937+00:00,"2026-06-05 00:15:00+00:00",,,0.0
7,NEAR,short,2.25223793156083,2.24834908875955,2.32798138404745,2.24879530986348,500.0,10.0,2199.2,4953.12165908857,tp,8.55234308857349,0.142539051476225,1682,1,2026-06-05T01:30:02.594697+00:00,2026-06-05T01:58:04.873346+00:00,"2026-06-05 01:15:00+00:00",,,0.0
20,NEAR,short,1.98674891594678,1.97632756288362,2.07722024352105,1.97671405545715,500.0,10.0,2492.7,4952.36902278055,tp,25.9773067805474,0.432955113009123,6521,1,2026-06-05T20:16:08.278858+00:00,2026-06-05T22:04:50.078414+00:00,"2026-06-05 20:00:00+00:00",,,0.0
55,NEAR,short,1.86367237830467,1.86364907118088,1.89873140474206,1.86296966481327,500.0,10.0,2681.9,4998.1829513753,tp,0.0625073753020946,0.00104178958836824,6,1,2026-06-07T00:30:27.767918+00:00,2026-06-07T00:30:34.363996+00:00,"2026-06-07 00:15:00+00:00",,,0.0
61,NEAR,short,1.88024748435454,1.87532475479904,1.91574735919085,1.87593917799818,500.0,10.0,2667.2,5014.99609027043,tp,13.1299042704257,0.218831737840429,0,1,2026-06-07T01:00:56.474606+00:00,2026-06-07T01:00:56.566232+00:00,"2026-06-07 00:45:00+00:00",,,0.0
69,NEAR,short,1.91250853242815,1.95359435109525,1.95129679185334,1.90250871894519,500.0,10.0,2606.7,4985.33599148046,sl,-107.098403519545,-1.78497339199242,1026,0,2026-06-07T01:31:36.442785+00:00,2026-06-07T01:48:43.130000+00:00,"2026-06-07 01:15:00+00:00",,,0.0
72,NEAR,short,1.94908228161248,1.93553313548788,1.99046053451231,1.93434418810236,500.0,10.0,2574.4,5017.71742578317,tp,34.8809217831663,0.581348696386105,225,1,2026-06-07T02:15:14.376592+00:00,2026-06-07T02:19:00.281905+00:00,"2026-06-07 02:00:00+00:00",,,0.0
83,NEAR,short,1.93827928579865,1.92321014758722,1.98547357218789,1.92397731278954,500.0,10.0,2588.3,5016.84827543266,tp,39.003450432656,0.650057507210933,482,1,2026-06-07T06:46:10.867240+00:00,2026-06-07T06:54:12.873053+00:00,"2026-06-07 06:30:00+00:00",,,0.0
98,NEAR,short,1.97380553833768,2.02418275942097,2.02016984503911,1.95321729443503,500.0,10.0,2542.2,5017.80843956205,sl,-128.068971437951,-2.13448285729919,2365,0,2026-06-07T14:45:12.176048+00:00,2026-06-07T15:24:37.270096+00:00,"2026-06-07 14:30:00+00:00",,,0.0
99,NEAR,short,2.056175917208,2.01578867837827,2.11086325487198,2.01449486000859,500.0,10.0,2459.1,5056.34219800619,tp,99.3162590061894,1.65527098343649,362,1,2026-06-07T15:45:22.774321+00:00,2026-06-07T15:51:25.764873+00:00,"2026-06-07 15:30:00+00:00",,,0.0
100,NEAR,short,2.0301975765722,2.09329368466469,2.08913818914982,1.99867664212795,500.0,10.0,2433.6,4940.68882234611,sl,-153.55068865389,-2.5591781442315,858,0,2026-06-07T16:15:30.775104+00:00,2026-06-07T16:29:48.892914+00:00,"2026-06-07 16:00:00+00:00",,,0.0
113,NEAR,long,2.03145618515788,2.04601410426081,1.97022566642092,2.04253662304475,500.0,10.0,2478.4,5034.76100929529,tp,36.0803467047098,0.601339111745163,415,1,2026-06-08T01:31:18.275011+00:00,2026-06-08T01:38:13.679587+00:00,"2026-06-08 01:15:00+00:00",,,0.0
118,NEAR,long,2.14002051366467,2.15208769827252,2.07994462298202,2.14279773506496,500.0,10.0,2321.3,4967.6296183698,tp,28.0115556302041,0.466859260503402,2,1,2026-06-08T20:30:31.894711+00:00,2026-06-08T20:30:33.990500+00:00,"2026-06-08 20:15:00+00:00",,,0.0
121,NEAR,long,2.14231057008696,2.07940832670345,2.08167513078261,2.1448210887212,500.0,10.0,2337.9,5008.5078818063,sl,-147.059154806296,-2.45098591343826,8202,0,2026-06-08T22:16:24.685245+00:00,2026-06-09T00:33:06.867230+00:00,"2026-06-08 22:00:00+00:00",,,0.0
144,NEAR,short,2.09702585656607,2.09158026362039,2.14155270909463,2.09052181369109,500.0,10.0,2389.8,5011.47239202159,tp,13.0138780215936,0.21689796702656,28,1,2026-06-09T05:01:26.068609+00:00,2026-06-09T05:01:54.162474+00:00,"2026-06-09 04:45:00+00:00",,,0.0
145,NEAR,short,2.1071318482636,2.15129572419106,2.14962663437241,2.09823393414908,500.0,10.0,2336.4,4923.10285028308,sl,-103.184479716923,-1.71974132861538,297,0,2026-06-09T05:30:02.765515+00:00,2026-06-09T05:35:00.373416+00:00,"2026-06-09 05:15:00+00:00",,,0.0
146,NEAR,short,2.17082388957423,2.14335227288518,2.21813500616804,2.14629233800665,500.0,10.0,2302.8,4998.97325291153,tp,63.2616389115307,1.05436064852551,7799,1,2026-06-09T06:01:45.670534+00:00,2026-06-09T08:11:44.875255+00:00,"2026-06-09 05:45:00+00:00",,,0.0
165,NEAR,long,2.11852275612492,2.12452168820307,2.06590480512428,2.12583314955651,500.0,10.0,2391.3,5066.02346672152,tp,14.3452462784794,0.239087437974657,2064,1,2026-06-09T14:31:47.382237+00:00,2026-06-09T15:06:11.766954+00:00,"2026-06-09 14:15:00+00:00",,,0.0
170,NEAR,long,2.07373309660296,2.09180935225499,2.01423786942663,2.09353587828968,500.0,10.0,2434.6,5048.71059698956,tp,44.0084520104365,0.733474200173941,2269,1,2026-06-09T15:45:30.467804+00:00,2026-06-09T16:23:19.673079+00:00,"2026-06-09 15:30:00+00:00",,,0.0
2,TON,short,1.65795876958176,1.65735257781939,1.69274892623585,1.65689913870723,500.0,10.0,2990.9,4958.78888394209,tp,1.8130589420893,0.0302176490348217,1365,1,2026-06-05T00:30:13.963779+00:00,2026-06-05T00:52:59.665381+00:00,"2026-06-05 00:15:00+00:00",,,0.0
8,TON,short,1.66957626561258,1.66549428962022,1.70258639051323,1.66666699811855,500.0,10.0,2999.1,5007.22617819869,tp,12.2422541986923,0.204037569978206,1,1,2026-06-05T01:45:10.570628+00:00,2026-06-05T01:45:12.566898+00:00,"2026-06-05 01:30:00+00:00",,,0.0
18,TON,short,1.53458934972591,1.51675062594772,1.58218414753316,1.53391703138788,500.0,10.0,3297.4,5060.15492178621,tp,58.8214077862054,0.980356796436757,0,1,2026-06-05T17:15:46.264410+00:00,2026-06-05T17:15:47.070710+00:00,"2026-06-05 17:00:00+00:00",,,0.0
19,TON,short,1.53260603001014,1.52673991756732,1.57849427009124,1.53156837051554,500.0,10.0,3275.4,5019.8977906952,tp,19.2138646952042,0.320231078253403,1,1,2026-06-05T18:00:29.380355+00:00,2026-06-05T18:00:30.667415+00:00,"2026-06-05 17:45:00+00:00",,,0.0
24,TON,short,1.52765481369539,1.52795136071494,1.57193332325853,1.52747923917133,500.0,10.0,3267.4,4991.45933826832,tp,-0.96893773167534,-0.016148962194589,352,1,2026-06-05T21:00:29.870068+00:00,2026-06-05T21:06:21.969207+00:00,"2026-06-05 20:45:00+00:00",,,0.0
26,TON,short,1.53178894650266,1.53036524151476,1.57466051852394,1.53071577730382,500.0,10.0,3258.6,4991.48746107357,tp,4.63928507356663,0.0773214178927772,638,1,2026-06-05T21:46:03.688644+00:00,2026-06-05T21:56:42.672033+00:00,"2026-06-05 21:30:00+00:00",,,0.0
37,TON,short,1.51169491413827,1.54394990342406,1.54301422724445,1.50651410593489,500.0,10.0,3303.1,4993.27947089012,sl,-106.541455109874,-1.77569091849791,6184,0,2026-06-06T06:31:28.975062+00:00,2026-06-06T08:14:33.475250+00:00,"2026-06-06 06:15:00+00:00",,,0.0
43,TON,short,1.55599438584665,1.59084835013029,1.58818947261985,1.53980304845297,500.0,10.0,3185.1,4955.99771836017,sl,-111.013361639833,-1.85022269399721,3984,0,2026-06-06T08:30:25.839277+00:00,2026-06-06T09:36:50.160066+00:00,"2026-06-06 08:15:00+00:00",,,0.0
47,TON,short,1.59948502495724,1.57907940253778,1.63312522461517,1.58074198588912,500.0,10.0,3136.6,5016.94472928088,tp,64.0042752808809,1.06673792134802,1961,1,2026-06-06T14:30:32.088202+00:00,2026-06-06T15:03:13.191079+00:00,"2026-06-06 14:15:00+00:00",,,0.0
58,TON,long,1.63050491242299,1.63611231202396,1.59734421180695,1.6327104386961,500.0,10.0,3072.2,5009.23719194592,tp,17.2270530540748,0.287117550901247,1067,1,2026-06-07T00:46:05.165324+00:00,2026-06-07T01:03:52.966433+00:00,"2026-06-07 00:30:00+00:00",,,0.0
88,TON,long,1.69999751501781,1.70279382636218,1.66509763516031,1.70241952425442,500.0,10.0,2938.3,4995.10269837684,tp,8.21640162316131,0.136940027052689,28,1,2026-06-07T10:15:27.932135+00:00,2026-06-07T10:15:56.625529+00:00,"2026-06-07 10:00:00+00:00",,,0.0
90,TON,long,1.67359847804153,1.68333013331547,1.63950630237381,1.68371593648353,500.0,10.0,2985.4,4996.3608963452,tp,29.0528836548017,0.484214727580029,1656,1,2026-06-07T12:30:33.765022+00:00,2026-06-07T12:58:09.865757+00:00,"2026-06-07 12:15:00+00:00",,,0.0
103,TON,long,1.65371051090574,1.66761056984685,1.62139459815167,1.66781860965011,500.0,10.0,3016.6,4988.58312719826,tp,41.9309178017417,0.698848630029029,3089,1,2026-06-07T19:30:18.762510+00:00,2026-06-07T20:21:48.065339+00:00,"2026-06-07 19:15:00+00:00",,,0.0
115,TON,long,1.68634483613394,1.70076595665802,1.65678352520543,1.6935292456136,500.0,10.0,2967.1,5003.553763293,tp,42.7889067069966,0.713148445116611,824,1,2026-06-08T05:46:12.573240+00:00,2026-06-08T05:59:57.070792+00:00,"2026-06-08 05:30:00+00:00",,,0.0
120,TON,long,1.72461969436006,1.72978104310196,1.68957724924057,1.72912948427574,500.0,10.0,2888.5,4981.56398715904,tp,14.908555840957,0.248475930682616,2,1,2026-06-08T22:16:12.588048+00:00,2026-06-08T22:16:14.885793+00:00,"2026-06-08 22:00:00+00:00",,,0.0
124,TON,long,1.72506625432067,1.72987233828263,1.691196288886,1.72940685980038,500.0,10.0,2889.3,4984.2339286087,tp,13.8862183912972,0.231436973188287,0,1,2026-06-08T22:45:46.675594+00:00,2026-06-08T22:45:46.693238+00:00,"2026-06-08 22:30:00+00:00",,,0.0
126,TON,long,1.72638027268313,1.69558520769522,1.69606245414816,1.73031046318147,500.0,10.0,2905.7,5016.34315833537,sl,-89.4812203353664,-1.49135367225611,3646,0,2026-06-08T23:30:24.866955+00:00,2026-06-09T00:31:11.462577+00:00,"2026-06-08 23:15:00+00:00",,,0.0
141,TON,short,1.72497267556389,1.7528790139047,1.75195408007501,1.71679213845532,500.0,10.0,2898.3,4999.48830558682,sl,-80.8809404131781,-1.34801567355297,4584,0,2026-06-09T04:15:40.373505+00:00,2026-06-09T05:32:04.581237+00:00,"2026-06-09 04:00:00+00:00",,,0.0
151,TON,long,1.72094297057106,1.72507329464286,1.69240673513953,1.72552662919211,500.0,10.0,2912.0,5011.38593030292,tp,12.0275036970765,0.200458394951275,656,1,2026-06-09T10:15:38.670254+00:00,2026-06-09T10:26:34.775388+00:00,"2026-06-09 10:00:00+00:00",,,0.0
154,TON,long,1.71997061546815,1.72490042220081,1.69309553921339,1.72469034151832,500.0,10.0,2906.2,4998.57860267355,tp,14.3270043264487,0.238783405440811,50,1,2026-06-09T10:45:32.683530+00:00,2026-06-09T10:46:23.167217+00:00,"2026-06-09 10:30:00+00:00",,,0.0
167,TON,long,1.71053838174741,1.71721020064835,1.68132543572673,1.71775737225322,500.0,10.0,2930.5,5012.7327277108,tp,19.5517652892035,0.325862754820058,739,1,2026-06-09T14:45:37.481246+00:00,2026-06-09T14:57:56.881957+00:00,"2026-06-09 14:30:00+00:00",,,0.0
169,TON,long,1.70418242499448,1.71181311061796,1.67172182495031,1.71262491917408,500.0,10.0,2929.0,4991.55032280883,tp,22.3502781911717,0.372504636519528,3753,1,2026-06-09T15:45:20.971853+00:00,2026-06-09T16:47:54.879594+00:00,"2026-06-09 15:30:00+00:00",,,0.0
181,TON,short,1.70169152376817,1.69987927022974,1.72458371391357,1.70096906663772,500.0,10.0,2933.8,4992.42259243107,tp,5.3167894310699,0.0886131571844983,383,1,2026-06-10T01:00:56.164124+00:00,2026-06-10T01:07:20.060871+00:00,"2026-06-10 00:45:00+00:00",,,0.0
188,TON,short,1.67402956923089,1.6682495540509,1.69578612307799,1.67116202953558,500.0,10.0,2998.1,5018.90805151113,tp,17.3290635111248,0.288817725185414,3,1,2026-06-10T10:45:36.297945+00:00,2026-06-10T10:45:39.586596+00:00,"2026-06-10 10:30:00+00:00",,,0.0
192,TON,short,1.67100262580433,1.66690254558814,1.69838363223901,1.66801261397473,500.0,10.0,2994.2,5003.31606218334,tp,12.2764601833397,0.204607669722329,941,1,2026-06-10T13:00:02.360901+00:00,2026-06-10T13:15:43.662420+00:00,"2026-06-10 12:45:00+00:00",,,0.0
201,TON,short,1.67265014673945,1.67001544202606,1.69865132065507,1.66942288485744,500.0,10.0,2977.2,4979.8140168727,tp,7.84404287269645,0.130734047878274,5924,1,2026-06-10T13:31:26.672651+00:00,2026-06-10T15:10:10.684639+00:00,"2026-06-10 13:15:00+00:00",,,0.0
217,TON,short,1.60032321348117,1.63184185182795,1.63034892133049,1.59924824943682,500.0,10.0,3099.1,4959.56167089948,sl,-97.6794121005191,-1.62799020167532,4316,0,2026-06-11T00:30:19.245072+00:00,2026-06-11T01:42:15.846447+00:00,"2026-06-11 00:15:00+00:00",,,0.0
231,TON,short,1.62890017421888,1.62411506211382,1.6553815679699,1.62462328997787,500.0,10.0,3075.0,5008.86803572305,tp,14.7142197230484,0.24523699538414,18,1,2026-06-11T02:15:49.260237+00:00,2026-06-11T02:16:08.065191+00:00,"2026-06-11 02:00:00+00:00",,,0.0
233,TON,short,1.66447072524057,1.65237033369894,1.69231652716516,1.65165635352317,500.0,10.0,3008.7,5007.89307103131,tp,36.4064480313116,0.606774133855193,305,1,2026-06-11T04:00:09.815892+00:00,2026-06-11T04:05:15.766237+00:00,"2026-06-11 03:45:00+00:00",,,0.0
263,TON,short,1.66656310760092,1.65847397102316,1.6917079684083,1.65851190924393,500.0,10.0,3009.3,5015.18835970346,tp,24.3426387034552,0.405710645057586,396,1,2026-06-11T18:15:50.568225+00:00,2026-06-11T18:22:26.877878+00:00,"2026-06-11 18:00:00+00:00",,,0.0
264,TON,short,1.67177129096182,1.69861989049127,1.69722161865635,1.66281108344481,500.0,10.0,2967.8,4961.48283731648,sl,-79.6812736835184,-1.32802122805864,4841,0,2026-06-11T19:00:49.268167+00:00,2026-06-11T20:21:30.285204+00:00,"2026-06-11 18:45:00+00:00",,,0.0
266,TON,short,1.70764966435709,1.70949153143399,1.73332697921379,1.68941948834197,500.0,10.0,2955.4,5046.78781804094,time,-5.4434539590625,-0.0907242326510417,10753,0,2026-06-11T20:46:23.375558+00:00,2026-06-11T23:45:37.367930+00:00,"2026-06-11 20:30:00+00:00",,,0.0
276,TON,long,1.70020348222195,1.67511393138149,1.67727133999759,1.70023146853662,500.0,10.0,2961.3,5034.81257190388,sl,-74.2976869038747,-1.23829478173125,1570,0,2026-06-12T01:01:27.758047+00:00,2026-06-12T01:27:38.463397+00:00,"2026-06-12 00:45:00+00:00",,,0.0
282,TON,long,1.67206399706328,1.70404250264172,1.6481759735695,1.67657642815486,500.0,10.0,2933.7,4905.33414818454,tp,93.8153418154611,1.56358903025769,0,1,2026-06-12T01:46:05.873566+00:00,2026-06-12T01:46:06.866156+00:00,"2026-06-12 01:30:00+00:00",,,0.0
288,TON,long,1.69356108857094,1.70194961163074,1.66204979713844,1.70112277798463,500.0,10.0,2950.8,4997.36006015512,tp,24.7528538448774,0.412547564081291,8503,1,2026-06-12T06:31:14.886496+00:00,2026-06-12T08:52:58.466546+00:00,"2026-06-12 06:15:00+00:00",,,0.0
302,TON,long,1.69087835724625,1.6616559763054,1.65838521521623,1.70072296888536,500.0,10.0,2962.7,5009.56530901346,time,-86.5771480134578,-1.44295246689096,10786,0,2026-06-12T19:01:07.166816+00:00,2026-06-12T22:00:54.051314+00:00,"2026-06-12 18:45:00+00:00",,,0.0
308,TON,short,1.68048951958949,1.67381,1.70168567630538,1.67918066371264,500.0,10.0,2987.5,5020.46243977359,tp,19.9550647735907,0.332584412893178,2,1,2026-06-13T00:45:10.062159+00:00,2026-06-13T00:45:12.567983+00:00,"2026-06-13 00:30:00+00:00",,,0.0
309,TON,short,1.68529798088123,1.68282167654188,1.70496182793109,1.68301195692652,500.0,10.0,2970.4,5006.00912240961,tp,7.35561440961342,0.122593573493557,28,1,2026-06-13T01:16:36.575344+00:00,2026-06-13T01:17:05.565485+00:00,"2026-06-13 01:00:00+00:00",,,0.0
310,TON,short,1.68286583555576,1.68080518249899,1.70139252000181,1.68160779466966,500.0,10.0,2964.4,4988.68748292148,tp,6.10859992148488,0.101809998691415,925,1,2026-06-13T01:45:34.066305+00:00,2026-06-13T02:00:59.164260+00:00,"2026-06-13 01:30:00+00:00",,,0.0
325,TON,long,1.72416667609884,1.72525764732282,1.70158008488954,1.72578224878856,500.0,10.0,2896.7,4994.3936106555,tp,3.16021634449562,0.0526702724082604,4,1,2026-06-13T22:31:04.371090+00:00,2026-06-13T22:31:09.275549+00:00,"2026-06-13 22:15:00+00:00",,,0.0
326,TON,long,1.72346153449339,1.72471,1.70243381044047,1.72481192716888,500.0,10.0,2910.3,5015.7901038361,tp,3.63340916390084,0.0605568193983473,4600,1,2026-06-13T23:00:02.800145+00:00,2026-06-14T00:16:42.970911+00:00,"2026-06-13 22:45:00+00:00",,,0.0
334,TON,long,1.7134059706389,1.71835596497265,1.69305373575008,1.7165855037381,500.0,10.0,2906.3,4979.67177246783,tp,14.3861685321708,0.23976947553618,1,1,2026-06-14T01:16:04.571715+00:00,2026-06-14T01:16:05.780603+00:00,"2026-06-14 01:00:00+00:00",,,0.0
343,TON,long,1.69256878145084,1.69806109351789,1.67703903305752,1.69865542664159,500.0,10.0,2962.0,5013.38873065737,tp,16.2682283426252,0.271137139043754,622,1,2026-06-14T05:30:20.175451+00:00,2026-06-14T05:40:43.065995+00:00,"2026-06-14 05:15:00+00:00",,,0.0
358,TON,long,1.71207175807967,1.67972,1.68624582271701,1.714425760848,500.0,10.0,2920.1,4999.42074076844,sl,-94.4703687684397,-1.57450614614066,715,0,2026-06-14T17:46:29.068376+00:00,2026-06-14T17:58:24.861690+00:00,"2026-06-14 17:30:00+00:00",,,0.0
359,TON,long,1.68056523271588,1.69119526644393,1.65300709444296,1.6918357570493,500.0,10.0,2963.1,4979.68284106044,tp,31.497852939564,0.524964215659401,1002,1,2026-06-14T18:16:15.563018+00:00,2026-06-14T18:32:57.572117+00:00,"2026-06-14 18:00:00+00:00",,,0.0
1,WLD,long,0.521407972537505,0.528406361784349,0.483711752837548,0.529626263824329,500.0,10.0,9522.8,4965.26384088016,tp,66.6442611198454,1.11073768533076,3257,1,2026-06-04T21:45:17.681442+00:00,2026-06-04T22:39:34.871169+00:00,"2026-06-04 21:30:00+00:00",,,0.0
9,WLD,long,0.486712797558518,0.50382583089752,0.450335178026659,0.499542440866971,500.0,10.0,10229.3,4978.73122006534,tp,175.054351934654,2.91757253224424,510,1,2026-06-05T03:16:09.572636+00:00,2026-06-05T03:24:39.673706+00:00,"2026-06-05 03:00:00+00:00",,,0.0
16,WLD,long,0.495865882275737,0.505385140306122,0.461752940481635,0.505222425697373,500.0,10.0,10427.2,5170.49272766557,tp,99.259207334434,1.65432012224057,687,1,2026-06-05T15:15:56.666543+00:00,2026-06-05T15:27:24.173212+00:00,"2026-06-05 15:00:00+00:00",,,0.0
31,WLD,long,0.491109185781101,0.501624757059196,0.461022672029912,0.498346349155288,500.0,10.0,9955.1,4889.04105536944,tp,104.683563630558,1.7447260605093,0,1,2026-06-06T01:30:03.070262+00:00,2026-06-06T01:30:03.268788+00:00,"2026-06-06 01:15:00+00:00",,,0.0
32,WLD,long,0.485569010496412,0.453641192548481,0.455481094467711,0.493401135828135,500.0,10.0,10478.4,5087.98631958561,sl,-334.552447585606,-5.57587412642677,701,0,2026-06-06T02:46:25.866147+00:00,2026-06-06T02:58:06.981344+00:00,"2026-06-06 02:30:00+00:00",,,0.0
